"sample.group"	"dataseries"	"sampleID"	"original.sample.id"	"sample.id"	"timepoint"	"comp_1"	"comp_2"	"comp_3"	"comp_4"	"comp_5"	"comp_6"	"comp_7"	"comp_8"	"LRT_Sample_Treatment"	"original.NGS"	"original.NGS.FN"	"NGS"	"LRT_timepoint"	"dataseries_color"	"f_replicate"	"f_timepoint"	"FASTQ"	"sample.group_color"
"Ctrl_24h"	"Ctrl"	"FRA4505A11"	"control_24h_2"	"Ctrl_24h_2"	24	"2_control_24h"	"2_control_24h"	"2_control_24h"	"2_control_24h"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"control_0h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A11_R1.fastq.gz"	"FRA4505A11_R1.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/Ctrl_24h_2_R1.fastq.gz"	24	"#FF0000"	"2"	"T24"	"Ctrl_24h_2"	"#D89000"
"Ctrl_24h"	"Ctrl"	"FRA4505A10"	"control_24h_1"	"Ctrl_24h_1"	24	"2_control_24h"	"2_control_24h"	"2_control_24h"	"2_control_24h"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"control_0h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A10_R1.fastq.gz"	"FRA4505A10_R1.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/Ctrl_24h_1_R1.fastq.gz"	24	"#FF0000"	"1"	"T24"	"Ctrl_24h_1"	"#D89000"
"Ctrl_2h"	"Ctrl"	"FRA4505A6"	"control_2h_3"	"Ctrl_2h_3"	2	""	""	""	""	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"control_24h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A6_R1.fastq.gz"	"FRA4505A6_R1.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/Ctrl_2h_3_R1.fastq.gz"	2	"#FF0000"	"3"	"T2"	"Ctrl_2h_3"	"#EA8331"
"Ctrl_2h"	"Ctrl"	"FRA4505A6"	"control_2h_3"	"Ctrl_2h_3"	2	""	""	""	""	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"control_24h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A6_R2.fastq.gz"	"FRA4505A6_R2.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/Ctrl_2h_3_R2.fastq.gz"	2	"#FF0000"	"3"	"T2"	"Ctrl_2h_3"	"#EA8331"
"Ctrl_2h"	"Ctrl"	"FRA4505A4"	"control_2h_1"	"Ctrl_2h_1"	2	""	""	""	""	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"control_24h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A4_R1.fastq.gz"	"FRA4505A4_R1.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/Ctrl_2h_1_R1.fastq.gz"	2	"#FF0000"	"1"	"T2"	"Ctrl_2h_1"	"#EA8331"
"Ctrl_2h"	"Ctrl"	"FRA4505A5"	"control_2h_2"	"Ctrl_2h_2"	2	""	""	""	""	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"control_24h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A5_R1.fastq.gz"	"FRA4505A5_R1.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/Ctrl_2h_2_R1.fastq.gz"	2	"#FF0000"	"2"	"T2"	"Ctrl_2h_2"	"#EA8331"
"Ctrl_2h"	"Ctrl"	"FRA4505A4"	"control_2h_1"	"Ctrl_2h_1"	2	""	""	""	""	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"control_24h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A4_R2.fastq.gz"	"FRA4505A4_R2.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/Ctrl_2h_1_R2.fastq.gz"	2	"#FF0000"	"1"	"T2"	"Ctrl_2h_1"	"#EA8331"
"Ctrl_2h"	"Ctrl"	"FRA4505A5"	"control_2h_2"	"Ctrl_2h_2"	2	""	""	""	""	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"control_24h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A5_R2.fastq.gz"	"FRA4505A5_R2.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/Ctrl_2h_2_R2.fastq.gz"	2	"#FF0000"	"2"	"T2"	"Ctrl_2h_2"	"#EA8331"
"Ctrl_6h"	"Ctrl"	"FRA4505A8"	"control_6h_2"	"Ctrl_6h_2"	6	""	""	""	""	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"control_24h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A8_R2.fastq.gz"	"FRA4505A8_R2.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/Ctrl_6h_2_R2.fastq.gz"	6	"#FF0000"	"2"	"T6"	"Ctrl_6h_2"	"#C09B00"
"Ctrl_6h"	"Ctrl"	"FRA4505A7"	"control_6h_1"	"Ctrl_6h_1"	6	""	""	""	""	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"control_24h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A7_R2.fastq.gz"	"FRA4505A7_R2.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/Ctrl_6h_1_R2.fastq.gz"	6	"#FF0000"	"1"	"T6"	"Ctrl_6h_1"	"#C09B00"
"Ctrl_6h"	"Ctrl"	"FRA4505A9"	"control_6h_3"	"Ctrl_6h_3"	6	""	""	""	""	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"control_24h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A9_R2.fastq.gz"	"FRA4505A9_R2.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/Ctrl_6h_3_R2.fastq.gz"	6	"#FF0000"	"3"	"T6"	"Ctrl_6h_3"	"#C09B00"
"Ctrl_6h"	"Ctrl"	"FRA4505A8"	"control_6h_2"	"Ctrl_6h_2"	6	""	""	""	""	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"control_24h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A8_R1.fastq.gz"	"FRA4505A8_R1.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/Ctrl_6h_2_R1.fastq.gz"	6	"#FF0000"	"2"	"T6"	"Ctrl_6h_2"	"#C09B00"
"Ctrl_6h"	"Ctrl"	"FRA4505A9"	"control_6h_3"	"Ctrl_6h_3"	6	""	""	""	""	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"control_24h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A9_R1.fastq.gz"	"FRA4505A9_R1.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/Ctrl_6h_3_R1.fastq.gz"	6	"#FF0000"	"3"	"T6"	"Ctrl_6h_3"	"#C09B00"
